,OutputGene,InputGene,FuncSimScore,PhenoSimScore,InteractionFound,FuncSharedTerms,PhenoSharedTerms
200,ARRDC4,NHLRC1,0.36,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
201,ATG10,NHLRC1,0.375,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
202,BAG2,NHLRC1,0.3023255813953488,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
203,BRAF,NHLRC1,0.30701754385964913,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
204,BRAT1,NHLRC1,0.3128834355828221,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
205,C1QTNF2,NHLRC1,0.3374485596707819,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
206,CACUL1,NHLRC1,0.4259259259259259,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
207,CAMKK2,NHLRC1,0.3189655172413793,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
208,CARD14,NHLRC1,0.3023255813953488,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
209,CCNC,NHLRC1,0.33707865168539325,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
210,CKS2,NHLRC1,0.3043478260869565,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
211,CCNL1,NHLRC1,0.32432432432432434,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
212,CCNL2,NHLRC1,0.3357142857142857,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
213,CCNQ,NHLRC1,0.3357142857142857,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
214,CCNY,NHLRC1,0.30526315789473685,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
215,CDC14B,NHLRC1,0.3048128342245989,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
216,CDC20B,NHLRC1,0.3493150684931507,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
217,CDK2AP1,NHLRC1,0.3202614379084967,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
218,CHFR,NHLRC1,0.3764044943820225,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
219,CISH,NHLRC1,0.3333333333333333,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
220,CKS1B,NHLRC1,0.3636363636363637,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
221,DYNAP,NHLRC1,0.3493975903614458,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
222,DYRK2,NHLRC1,0.30493273542600896,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
223,EDEM1,NHLRC1,0.30493273542600896,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
224,MICOS10-NBL1,NHLRC1,,,1.0,,
225,KLHL40,NHLRC1,0.32,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
226,KLHL42,NHLRC1,0.3161764705882353,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
227,KSR1,NHLRC1,0.3177083333333333,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
228,LCP2,NHLRC1,0.32460732984293195,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
229,MAGEA2,NHLRC1,0.3349282296650718,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
