,OutputGene,InputGene,FuncSimScore,PhenoSimScore,InteractionFound,FuncSharedTerms,PhenoSharedTerms
147,SH3RF3,NHLRC1,0.3470588235294117,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
148,SH3RF2,NHLRC1,0.3065134099616858,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
149,SERTAD1,NHLRC1,0.33519553072625696,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
150,TMEM129,NHLRC1,0.3419354838709677,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
151,RNF144B,NHLRC1,0.30985915492957744,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
152,RNF180,NHLRC1,0.3656716417910448,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
153,RNF185,NHLRC1,0.371584699453552,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
154,RNF186,NHLRC1,0.3851351351351352,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
155,RNF187,NHLRC1,0.37869822485207105,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
156,RNF217,NHLRC1,0.3053435114503817,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
157,RNFT1,NHLRC1,0.37423312883435583,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
158,RPL10,EPM2A,,,1.0,,
159,RPLP1,NHLRC1,0.375,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
160,RPS2,NHLRC1,0.32432432432432434,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
161,TTC3,NHLRC1,0.3106060606060606,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
162,RPS6KB2,NHLRC1,0.3016759776536313,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
163,TRPT1,NHLRC1,0.3087248322147651,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
164,TRIB2,NHLRC1,0.3521739130434783,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
165,TRAF7,NHLRC1,0.35294117647058826,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
166,NKD2,NHLRC1,0.32701421800947866,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Positive regulation of cellular protein metabolic process ']",
167,NNAT,NHLRC1,,,1.0,,
168,MLST8,NHLRC1,0.3137254901960784,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
